Date,Open,High,Low,Close,Adj Close,Volume
2018-11-30,231.690002,233.389999,229.699997,231.279999,216.529678,2764000
2018-12-03,230.720001,232.199997,228.210007,232.080002,217.278656,2481500
2018-12-04,232.110001,233.300003,225.559998,226.350006,211.914124,3418600
2018-12-06,227.940002,233.860001,226.600006,233.199997,218.327240,4029800
2018-12-07,233.149994,233.809998,223.029999,224.860001,210.519150,2881900
2018-12-10,224.539993,225.199997,219.110001,222.660004,208.459442,2650000
2018-12-11,225.119995,227.250000,224.000000,226.500000,212.054565,2466800
2018-12-12,228.350006,230.449997,227.070007,227.800003,213.271637,2891400
2018-12-13,228.839996,229.619995,225.479996,226.509995,212.063889,2170200
2018-12-14,218.000000,219.000000,205.509995,207.059998,193.854370,8822300
2018-12-17,206.679993,208.000000,200.660004,202.229996,189.332428,4739400
2018-12-18,203.089996,204.669998,201.570007,202.990005,190.043900,3308500
2018-12-19,203.500000,207.000000,199.860001,201.410004,188.564682,3369600
2018-12-20,200.330002,200.699997,193.679993,197.130005,184.557663,4250900
2018-12-21,197.160004,200.699997,194.320007,194.520004,182.114105,5080200
2018-12-24,193.899994,195.330002,189.800003,189.990005,177.872971,2031700
2018-12-26,190.820007,198.779999,189.509995,198.630005,185.961960,3268800
2018-12-27,196.960007,201.130005,193.960007,201.080002,188.255722,2705900
2018-12-28,201.820007,204.949997,199.589996,202.039993,189.154526,2037800
2018-12-31,203.380005,204.389999,201.380005,203.710007,190.718018,1729400
2019-01-02,200.500000,205.100006,199.850006,204.759995,191.701035,2143100
2019-01-03,203.699997,205.940002,200.039993,200.419998,187.637848,2877700
2019-01-04,203.080002,207.929993,201.449997,206.240005,193.086655,2761600
2019-01-07,205.520004,209.119995,203.539993,207.000000,193.798203,2226600
2019-01-08,208.649994,209.080002,204.179993,208.550003,195.249313,2366500
2019-01-09,209.149994,211.220001,207.919998,209.899994,196.513214,1862900
2019-01-10,208.149994,210.899994,206.000000,210.639999,197.206024,2340700
2019-01-11,210.039993,211.250000,209.309998,210.509995,197.084335,1861100
2019-01-14,209.470001,210.649994,208.160004,209.000000,195.670639,1523100
2019-01-15,210.039993,211.339996,209.080002,211.029999,197.571182,1681900
2019-01-16,211.460007,211.460007,209.500000,210.179993,196.775375,1455000
2019-01-17,209.869995,211.649994,209.649994,211.460007,197.973770,1517100
2019-01-18,212.559998,214.160004,211.770004,213.589996,199.967896,2115400
2019-01-22,213.000000,215.559998,210.800003,212.399994,198.853775,3310800
2019-01-23,213.000000,214.850006,210.000000,212.089996,198.563583,2220200
2019-01-24,212.389999,212.389999,208.899994,210.309998,196.897095,1994400
2019-01-25,212.029999,212.320007,208.740005,209.070007,195.736191,2252300
2019-01-28,208.679993,210.789993,207.309998,210.770004,197.327713,1999400
2019-01-29,210.320007,210.539993,208.570007,210.309998,196.897095,1636500
2019-01-30,210.479996,212.169998,209.320007,211.350006,197.870743,1589800
2019-01-31,211.139999,214.880005,209.720001,214.630005,200.941574,4341100
2019-02-01,214.000000,215.000000,209.369995,210.270004,196.859650,3453700
2019-02-04,210.699997,211.190002,207.899994,211.179993,197.711594,1630300
2019-02-05,211.490005,212.520004,209.639999,211.610001,198.114182,2074500
2019-02-06,212.259995,212.259995,210.479996,211.600006,198.104813,1618800
2019-02-07,210.070007,210.100006,206.270004,209.050003,196.246078,2526600
2019-02-08,207.830002,208.490005,205.750000,207.750000,195.025726,2013700
2019-02-11,208.649994,208.919998,206.759995,208.720001,195.936310,2376600
2019-02-12,210.059998,212.750000,209.259995,211.899994,198.921524,2091200
2019-02-13,212.229996,213.509995,211.300003,212.800003,199.766403,1703000
2019-02-14,212.000000,214.550003,211.139999,213.839996,200.742722,1411100
2019-02-15,215.149994,217.250000,214.039993,216.470001,203.211655,2635500
2019-02-19,216.669998,219.600006,216.509995,218.119995,204.760559,1938100
2019-02-20,218.229996,219.070007,215.059998,217.110001,203.812439,1785600
2019-02-21,216.600006,216.720001,214.330002,215.229996,202.047562,1615300
2019-02-22,215.169998,216.589996,214.250000,216.289993,203.042618,1542500
2019-02-25,217.369995,219.089996,216.550003,217.050003,203.756104,1794000
2019-02-26,216.889999,218.910004,216.130005,217.610001,204.281845,1884100
2019-02-27,216.509995,218.860001,216.449997,218.050003,204.694870,1482700
2019-02-28,218.490005,219.690002,217.520004,218.740005,205.342606,2055600
2019-03-01,219.759995,220.570007,215.770004,219.440002,205.999725,2178200
2019-03-04,220.429993,221.080002,215.869995,218.410004,205.032776,2444700
2019-03-05,218.910004,221.610001,218.899994,219.820007,206.356430,2160200
2019-03-06,220.500000,221.910004,218.229996,219.229996,205.802567,1985300
2019-03-07,218.130005,219.389999,216.220001,216.789993,203.512009,3279100
2019-03-08,225.479996,228.699997,223.770004,227.820007,213.866470,6782700
2019-03-11,227.529999,229.910004,227.059998,229.690002,215.621964,3748400
2019-03-12,230.320007,233.399994,229.899994,232.960007,218.691666,2647100
2019-03-13,234.250000,237.449997,232.949997,236.380005,221.902176,2421200
2019-03-14,236.130005,236.380005,233.279999,233.839996,219.517746,2300300
2019-03-15,234.169998,235.649994,233.179993,233.600006,219.292435,5075400
2019-03-18,233.580002,236.679993,233.490005,236.589996,222.099304,1735400
2019-03-19,237.520004,238.050003,236.289993,237.050003,222.531143,1852300
2019-03-20,237.029999,238.490005,235.779999,236.979996,222.465439,1499500
2019-03-21,236.679993,239.850006,236.550003,239.539993,224.868652,1617000
2019-03-22,239.750000,240.339996,236.899994,237.559998,223.009857,1873600
2019-03-25,236.929993,238.080002,235.789993,236.970001,222.456009,1357100
2019-03-26,238.000000,240.250000,237.360001,239.070007,224.427399,1193000
2019-03-27,238.710007,240.210007,238.160004,239.410004,224.746582,1351200
2019-03-28,239.979996,241.949997,239.580002,241.220001,226.445755,1396700
2019-03-29,241.660004,242.440002,240.770004,242.139999,227.309418,1968000
2019-04-01,243.070007,244.410004,242.580002,244.190002,229.233856,1610200
2019-04-02,244.000000,244.190002,240.309998,240.500000,225.769836,1574300
2019-04-03,241.690002,243.550003,241.020004,242.479996,227.628555,1663600
2019-04-04,242.169998,244.759995,241.250000,244.399994,229.430969,1319700
2019-04-05,244.960007,247.089996,244.009995,245.869995,230.810944,1616200
2019-04-08,245.990005,246.830002,245.199997,246.520004,231.421127,1244200
2019-04-09,245.110001,245.679993,244.009995,244.910004,229.909760,1450200
2019-04-10,245.279999,246.669998,244.710007,245.610001,230.566879,1556600
2019-04-11,243.619995,244.179993,240.919998,241.240005,226.464493,2719800
2019-04-12,241.509995,242.720001,240.899994,241.949997,227.131042,2187600
2019-04-15,242.369995,246.750000,241.960007,246.330002,231.242767,1859700
2019-04-16,246.649994,246.820007,244.250000,245.339996,230.313385,1360500
2019-04-17,246.300003,246.460007,244.320007,245.559998,230.519913,1363000
2019-04-18,246.789993,247.250000,244.699997,245.809998,230.754608,1365000
2019-04-22,245.190002,245.770004,242.559998,243.419998,228.510986,1300000
2019-04-23,244.649994,246.529999,242.210007,245.580002,230.538712,1524600
2019-04-24,245.679993,248.699997,245.600006,247.960007,232.772903,1156400
2019-04-25,246.210007,247.149994,243.940002,245.600006,230.557480,1278200
2019-04-26,245.619995,245.889999,242.059998,243.820007,228.886520,1842900
2019-04-29,245.000000,245.750000,243.490005,244.279999,229.318329,1429700
2019-04-30,244.770004,245.789993,243.020004,245.529999,230.491745,1427600
2019-05-01,245.339996,245.460007,241.550003,241.589996,226.793060,1350400
2019-05-02,241.759995,242.889999,240.419998,242.690002,227.825729,1237600
2019-05-03,243.270004,244.880005,242.720001,244.619995,229.637482,905900
2019-05-06,242.850006,244.830002,242.059998,244.229996,229.271362,1194900
2019-05-07,241.720001,242.740005,238.220001,240.179993,225.469437,1775200
2019-05-08,239.559998,243.050003,238.190002,241.339996,226.558350,1611900
2019-05-09,240.660004,244.059998,240.160004,243.470001,229.175186,1919300
2019-05-10,242.940002,248.550003,240.029999,247.020004,232.516724,2036500
2019-05-13,244.119995,244.929993,240.669998,241.919998,227.716156,1962800
2019-05-14,242.289993,245.089996,241.809998,242.729996,228.478607,1635100
2019-05-15,242.110001,245.399994,241.229996,244.669998,230.304703,1194800
2019-05-16,245.630005,249.729996,245.210007,247.440002,232.912079,1800600
2019-05-17,245.880005,250.050003,245.589996,248.350006,233.768661,1672000
2019-05-20,247.149994,249.940002,247.149994,248.899994,234.286362,1600500
2019-05-21,249.110001,250.830002,248.100006,249.929993,235.255890,1504200
2019-05-22,251.009995,251.009995,249.139999,249.509995,234.860519,1242300
2019-05-23,248.630005,249.919998,247.179993,248.529999,233.938065,1822800
2019-05-24,249.110001,249.559998,246.770004,247.300003,232.780319,1340200
2019-05-28,248.580002,250.199997,246.139999,246.309998,231.848419,3164100
2019-05-29,244.130005,244.770004,238.910004,240.690002,226.558380,2594900
2019-05-30,242.149994,243.580002,240.750000,241.539993,227.358459,2030300
2019-05-31,238.979996,240.660004,233.050003,239.580002,225.513580,4058100
2019-06-03,239.779999,241.539993,238.080002,241.070007,226.916092,2512500
2019-06-04,243.000000,245.820007,242.500000,245.610001,231.189545,1761500
2019-06-05,246.100006,248.759995,245.020004,247.960007,233.401535,1825500
2019-06-06,248.000000,251.940002,247.740005,251.210007,236.460709,1487800
2019-06-07,251.160004,256.600006,251.020004,256.010010,240.978897,2270200
2019-06-10,256.399994,258.829987,256.109985,256.850006,241.769592,1839500
2019-06-11,258.910004,259.619995,256.209991,257.109985,242.014343,1613500
2019-06-12,257.579987,258.750000,255.770004,257.230011,242.127274,1071700
2019-06-13,257.709991,259.869995,257.549988,259.709991,244.461639,1228500
2019-06-14,260.000000,261.200012,258.910004,260.149994,244.875854,1287800
2019-06-17,261.130005,262.250000,260.429993,261.429993,246.080643,1191900
2019-06-18,263.609985,264.200012,262.049988,262.739990,247.313782,2763200
2019-06-19,262.309998,264.100006,260.940002,263.660004,248.179764,1628400
2019-06-20,265.000000,267.790009,264.549988,267.350006,251.653061,1745100
2019-06-21,266.769989,268.940002,265.989990,266.130005,250.504730,2964000
2019-06-24,267.309998,267.970001,266.519989,266.769989,251.107178,1586100
2019-06-25,266.709991,267.079987,265.359985,266.359985,250.721222,1182400
2019-06-26,266.450012,266.820007,264.339996,264.410004,248.885742,1334400
2019-06-27,264.899994,266.480011,262.989990,265.579987,249.987015,1122900
2019-06-28,265.500000,266.390015,263.359985,264.260010,248.744461,1952500
2019-07-01,266.429993,267.000000,261.839996,263.549988,248.076218,1955800
2019-07-02,263.920013,265.570007,261.670013,265.470001,249.883484,1201300
